"Moving Violations",,
"71st Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
8","YTD 2014"
,,14
"Brake Lights (Defect.or  Improper)",29,80
"Bus Lane, Driving in",29,66
"Cell Phone",132,383
"Commercial Veh on Pkwy",0,2
"Defective Brakes",0,0
"Disobey Sign",440,1003
"Equipment (Other)",21,42
"Fail to Keep Right",0,0
"Fail to Signal",76,191
"Fail to Stop on Signal",113,314
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",14,46
"Improper Lights",2,2
"Improper Passing",7,17
"Improper Turn",82,205
"Improper/Missing Plates",22,45
"Not Giving R of W to Pedes.",90,201
"Not Giving R of W to Veh.",16,64
"One Way Street",10,34
"Pavement Markings",112,248
"Safety Belt",58,221
"School Bus, Passing Stopped",1,4
Speeding,32,57
Spillback,7,13
"Tinted Windows",176,608
"Truck Routes",18,29
U-Turn,8,19
Uninspected,39,171
Uninsured,115,307
"Unlicensed Operator",121,274
Unregistered,24,92
"Unsafe Lane Change",1,5
"Other Movers
TOTAL Movers","67
1870",172
,,4932
"* All figures are preliminary and subject to change.",,
