"Moving Violations",,
"113th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,5
"Brake Lights (Defect.or  Improper)",82,221
"Bus Lane, Driving in",0,0
"Cell Phone",123,330
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",105,268
"Equipment (Other)",12,83
"Fail to Keep Right",0,0
"Fail to Signal",4,10
"Fail to Stop on Signal",47,113
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",21,68
"Improper Lights",1,3
"Improper Passing",3,9
"Improper Turn",222,564
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",4,61
"Not Giving R of W to Veh.",1,3
"One Way Street",0,0
"Pavement Markings",8,30
"Safety Belt",76,211
"School Bus, Passing Stopped",0,3
Speeding,30,68
Spillback,0,4
"Tinted Windows",116,368
"Truck Routes",10,16
U-Turn,0,0
Uninspected,12,40
Uninsured,89,254
"Unlicensed Operator",121,338
Unregistered,49,95
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","105
1242",228
,,3395
"* All figures are preliminary and subject to change.",,
