"Moving Violations",,
"107th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",83,240
"Bus Lane, Driving in",0,0
"Cell Phone",112,258
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",101,365
"Equipment (Other)",0,4
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Fail to Stop on Signal",18,52
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",28,108
"Improper Lights",10,37
"Improper Passing",1,8
"Improper Turn",236,567
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",9,36
"Not Giving R of W to Veh.",13,27
"One Way Street",1,4
"Pavement Markings",8,38
"Safety Belt",175,478
"School Bus, Passing Stopped",3,3
Speeding,23,115
Spillback,1,2
"Tinted Windows",86,184
"Truck Routes",0,6
U-Turn,8,27
Uninspected,1,8
Uninsured,45,117
"Unlicensed Operator",67,190
Unregistered,2,8
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","38
1069",87
,,2970
"* All figures are preliminary and subject to change.",,
