"Moving Violations",,
"10th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,5
"Brake Lights (Defect.or  Improper)",35,123
"Bus Lane, Driving in",0,0
"Cell Phone",115,380
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",41,111
"Equipment (Other)",0,0
"Fail to Keep Right",0,1
"Fail to Signal",12,22
"Fail to Stop on Signal",20,49
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",28,109
"Improper Lights",7,26
"Improper Passing",2,5
"Improper Turn",95,258
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",7,26
"Not Giving R of W to Veh.",0,1
"One Way Street",5,16
"Pavement Markings",7,23
"Safety Belt",135,540
"School Bus, Passing Stopped",0,1
Speeding,7,10
Spillback,0,3
"Tinted Windows",30,99
"Truck Routes",0,40
U-Turn,0,0
Uninspected,5,20
Uninsured,26,72
"Unlicensed Operator",42,146
Unregistered,21,55
"Unsafe Lane Change",1,10
"Other Movers
TOTAL Movers","38
681",158
,,2310
"* All figures are preliminary and subject to change.",,
