"Moving Violations",,
"26th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",28,54
"Bus Lane, Driving in",0,0
"Cell Phone",114,358
"Commercial Veh on Pkwy",4,4
"Defective Brakes",0,1
"Disobey Sign",16,96
"Equipment (Other)",0,0
"Fail to Keep Right",0,1
"Fail to Signal",2,7
"Fail to Stop on Signal",28,71
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",10,38
"Improper Lights",0,1
"Improper Passing",0,2
"Improper Turn",42,204
"Improper/Missing Plates",2,2
"Not Giving R of W to Pedes.",12,173
"Not Giving R of W to Veh.",2,3
"One Way Street",2,4
"Pavement Markings",29,93
"Safety Belt",15,64
"School Bus, Passing Stopped",0,0
Speeding,99,225
Spillback,0,0
"Tinted Windows",14,36
"Truck Routes",0,0
U-Turn,6,21
Uninspected,3,4
Uninsured,11,41
"Unlicensed Operator",21,68
Unregistered,3,19
"Unsafe Lane Change",2,3
"Other Movers
TOTAL Movers","11
476",43
,,1638
"* All figures are preliminary and subject to change.",,
