"Moving Violations",,
"40th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,7
"Brake Lights (Defect.or  Improper)",34,125
"Bus Lane, Driving in",0,0
"Cell Phone",107,203
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",105,264
"Equipment (Other)",20,34
"Fail to Keep Right",2,3
"Fail to Signal",27,71
"Fail to Stop on Signal",39,164
"Following Too Closely",2,3
"Headlights (Defect. or Improper)",38,246
"Improper Lights",2,2
"Improper Passing",1,6
"Improper Turn",143,358
"Improper/Missing Plates",2,6
"Not Giving R of W to Pedes.",48,158
"Not Giving R of W to Veh.",11,41
"One Way Street",2,7
"Pavement Markings",11,21
"Safety Belt",57,139
"School Bus, Passing Stopped",8,19
Speeding,78,170
Spillback,19,30
"Tinted Windows",256,764
"Truck Routes",0,11
U-Turn,16,38
Uninspected,0,4
Uninsured,90,306
"Unlicensed Operator",104,260
Unregistered,12,37
"Unsafe Lane Change",1,4
"Other Movers
TOTAL Movers","39
1275",107
,,3608
"* All figures are preliminary and subject to change.",,
