"Moving Violations",,
"122nd Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,4
"Brake Lights (Defect.or  Improper)",37,127
"Bus Lane, Driving in",19,34
"Cell Phone",88,258
"Commercial Veh on Pkwy",1,5
"Defective Brakes",0,0
"Disobey Sign",298,622
"Equipment (Other)",16,77
"Fail to Keep Right",4,8
"Fail to Signal",54,198
"Fail to Stop on Signal",44,164
"Following Too Closely",0,6
"Headlights (Defect. or Improper)",13,42
"Improper Lights",0,0
"Improper Passing",0,3
"Improper Turn",4,14
"Improper/Missing Plates",10,30
"Not Giving R of W to Pedes.",10,35
"Not Giving R of W to Veh.",17,25
"One Way Street",4,13
"Pavement Markings",198,471
"Safety Belt",99,276
"School Bus, Passing Stopped",2,4
Speeding,132,505
Spillback,1,2
"Tinted Windows",48,135
"Truck Routes",10,35
U-Turn,14,51
Uninspected,15,43
Uninsured,74,219
"Unlicensed Operator",82,254
Unregistered,22,54
"Unsafe Lane Change",12,21
"Other Movers
TOTAL Movers","71
1400",221
,,3956
"* All figures are preliminary and subject to change.",,
