"Moving Violations",,
"83rd Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
3","YTD 2014"
,,15
"Brake Lights (Defect.or  Improper)",37,124
"Bus Lane, Driving in",0,0
"Cell Phone",145,442
"Commercial Veh on Pkwy",0,0
"Defective Brakes",2,5
"Disobey Sign",272,800
"Equipment (Other)",1,7
"Fail to Keep Right",3,11
"Fail to Signal",37,127
"Fail to Stop on Signal",50,174
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",22,96
"Improper Lights",5,9
"Improper Passing",1,4
"Improper Turn",57,96
"Improper/Missing Plates",5,12
"Not Giving R of W to Pedes.",22,48
"Not Giving R of W to Veh.",2,7
"One Way Street",6,19
"Pavement Markings",10,22
"Safety Belt",109,244
"School Bus, Passing Stopped",1,1
Speeding,8,17
Spillback,0,0
"Tinted Windows",36,131
"Truck Routes",1,13
U-Turn,0,1
Uninspected,0,9
Uninsured,86,240
"Unlicensed Operator",195,440
Unregistered,17,62
"Unsafe Lane Change",2,5
"Other Movers
TOTAL Movers","6
1141",36
,,3218
"* All figures are preliminary and subject to change.",,
