"Moving Violations",,
"49th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",74,164
"Bus Lane, Driving in",1,1
"Cell Phone",32,135
"Commercial Veh on Pkwy",0,1
"Defective Brakes",3,4
"Disobey Sign",104,267
"Equipment (Other)",0,3
"Fail to Keep Right",0,0
"Fail to Signal",59,181
"Fail to Stop on Signal",3,28
"Following Too Closely",1,3
"Headlights (Defect. or Improper)",41,124
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",15,54
"Improper/Missing Plates",1,7
"Not Giving R of W to Pedes.",7,19
"Not Giving R of W to Veh.",2,8
"One Way Street",0,4
"Pavement Markings",43,115
"Safety Belt",46,230
"School Bus, Passing Stopped",10,11
Speeding,15,36
Spillback,0,0
"Tinted Windows",82,214
"Truck Routes",1,1
U-Turn,8,10
Uninspected,3,17
Uninsured,34,83
"Unlicensed Operator",45,159
Unregistered,7,27
"Unsafe Lane Change",0,8
"Other Movers
TOTAL Movers","34
672",40
,,1956
"* All figures are preliminary and subject to change.",,
