"Moving Violations",,
"77th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,11
"Brake Lights (Defect.or  Improper)",169,422
"Bus Lane, Driving in",0,0
"Cell Phone",111,306
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,2
"Disobey Sign",120,323
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",12,31
"Fail to Stop on Signal",75,237
"Following Too Closely",1,7
"Headlights (Defect. or Improper)",144,601
"Improper Lights",0,0
"Improper Passing",10,16
"Improper Turn",90,207
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",50,78
"Not Giving R of W to Veh.",10,16
"One Way Street",3,14
"Pavement Markings",13,54
"Safety Belt",42,153
"School Bus, Passing Stopped",1,2
Speeding,59,176
Spillback,2,15
"Tinted Windows",138,350
"Truck Routes",3,13
U-Turn,21,64
Uninspected,12,32
Uninsured,75,252
"Unlicensed Operator",68,185
Unregistered,28,68
"Unsafe Lane Change",0,2
"Other Movers
TOTAL Movers","112
1371",305
,,3942
"* All figures are preliminary and subject to change.",,
