"Moving Violations",,
"109th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",2,21
"Bus Lane, Driving in",0,0
"Cell Phone",236,646
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Sign",437,1833
"Equipment (Other)",9,27
"Fail to Keep Right",0,3
"Fail to Signal",14,58
"Fail to Stop on Signal",91,291
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",3,14
"Improper Lights",0,0
"Improper Passing",2,6
"Improper Turn",35,151
"Improper/Missing Plates",5,20
"Not Giving R of W to Pedes.",81,207
"Not Giving R of W to Veh.",3,22
"One Way Street",3,9
"Pavement Markings",43,59
"Safety Belt",309,829
"School Bus, Passing Stopped",4,11
Speeding,68,118
Spillback,6,31
"Tinted Windows",124,447
"Truck Routes",6,28
U-Turn,7,21
Uninspected,8,28
Uninsured,23,119
"Unlicensed Operator",98,324
Unregistered,10,50
"Unsafe Lane Change",3,8
"Other Movers
TOTAL Movers","64
1695",253
,,5641
"* All figures are preliminary and subject to change.",,
