"Moving Violations",,
"114th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,3
"Brake Lights (Defect.or  Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",219,683
"Commercial Veh on Pkwy",2,2
"Defective Brakes",0,0
"Disobey Sign",304,825
"Equipment (Other)",0,1
"Fail to Keep Right",0,0
"Fail to Signal",17,60
"Fail to Stop on Signal",82,246
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",0,0
"Improper Lights",13,39
"Improper Passing",2,9
"Improper Turn",29,91
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",12,80
"Not Giving R of W to Veh.",0,6
"One Way Street",3,15
"Pavement Markings",42,182
"Safety Belt",121,446
"School Bus, Passing Stopped",0,2
Speeding,49,165
Spillback,1,3
"Tinted Windows",132,271
"Truck Routes",29,46
U-Turn,0,0
Uninspected,7,13
Uninsured,59,185
"Unlicensed Operator",87,236
Unregistered,2,2
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","66
1278",144
,,3756
"* All figures are preliminary and subject to change.",,
