"Moving Violations",,
"43rd Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,14
"Brake Lights (Defect.or  Improper)",44,113
"Bus Lane, Driving in",0,0
"Cell Phone",77,136
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",70,163
"Equipment (Other)",2,6
"Fail to Keep Right",1,4
"Fail to Signal",61,147
"Fail to Stop on Signal",25,59
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",32,95
"Improper Lights",1,6
"Improper Passing",2,10
"Improper Turn",99,205
"Improper/Missing Plates",25,49
"Not Giving R of W to Pedes.",28,98
"Not Giving R of W to Veh.",7,18
"One Way Street",3,6
"Pavement Markings",35,63
"Safety Belt",96,152
"School Bus, Passing Stopped",0,1
Speeding,31,77
Spillback,1,6
"Tinted Windows",169,515
"Truck Routes",0,1
U-Turn,7,14
Uninspected,0,1
Uninsured,26,69
"Unlicensed Operator",70,171
Unregistered,13,22
"Unsafe Lane Change",13,29
"Other Movers
TOTAL Movers","55
994",92
,,2343
"* All figures are preliminary and subject to change.",,
