"Moving Violations",,
"67th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
4","YTD 2014"
,,16
"Brake Lights (Defect.or  Improper)",30,98
"Bus Lane, Driving in",17,95
"Cell Phone",109,295
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",90,239
"Equipment (Other)",0,1
"Fail to Keep Right",1,2
"Fail to Signal",136,248
"Fail to Stop on Signal",145,408
"Following Too Closely",1,3
"Headlights (Defect. or Improper)",27,79
"Improper Lights",0,1
"Improper Passing",12,23
"Improper Turn",81,198
"Improper/Missing Plates",2,14
"Not Giving R of W to Pedes.",29,63
"Not Giving R of W to Veh.",6,20
"One Way Street",2,5
"Pavement Markings",69,161
"Safety Belt",101,262
"School Bus, Passing Stopped",0,1
Speeding,42,104
Spillback,8,28
"Tinted Windows",196,652
"Truck Routes",5,10
U-Turn,92,190
Uninspected,9,40
Uninsured,80,245
"Unlicensed Operator",113,329
Unregistered,27,71
"Unsafe Lane Change",2,12
"Other Movers
TOTAL Movers","193
1629",453
,,4366
"* All figures are preliminary and subject to change.",,
