"Moving Violations",,
"62nd Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,7
"Brake Lights (Defect.or  Improper)",10,37
"Bus Lane, Driving in",0,0
"Cell Phone",79,258
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",170,534
"Equipment (Other)",2,2
"Fail to Keep Right",0,1
"Fail to Signal",24,91
"Fail to Stop on Signal",105,245
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",4,18
"Improper Lights",6,21
"Improper Passing",11,21
"Improper Turn",35,75
"Improper/Missing Plates",6,14
"Not Giving R of W to Pedes.",50,133
"Not Giving R of W to Veh.",8,15
"One Way Street",16,39
"Pavement Markings",29,56
"Safety Belt",59,222
"School Bus, Passing Stopped",1,8
Speeding,51,89
Spillback,0,0
"Tinted Windows",86,240
"Truck Routes",3,6
U-Turn,5,38
Uninspected,2,3
Uninsured,51,142
"Unlicensed Operator",48,162
Unregistered,16,42
"Unsafe Lane Change",5,22
"Other Movers
TOTAL Movers","43
927",147
,,2690
"* All figures are preliminary and subject to change.",,
