"Moving Violations",,
"Brooklyn South",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
35","YTD 2014"
,,99
"Brake Lights (Defect.or  Improper)",195,557
"Bus Lane, Driving in",47,162
"Cell Phone",1718,4380
"Commercial Veh on Pkwy",4,32
"Defective Brakes",2,6
"Disobey Sign",1861,4811
"Equipment (Other)",36,64
"Fail to Keep Right",1,5
"Fail to Signal",402,1018
"Fail to Stop on Signal",854,2334
"Following Too Closely",11,27
"Headlights (Defect. or Improper)",153,562
"Improper Lights",124,298
"Improper Passing",90,236
"Improper Turn",773,2348
"Improper/Missing Plates",46,127
"Not Giving R of W to Pedes.",540,1394
"Not Giving R of W to Veh.",48,178
"One Way Street",44,129
"Pavement Markings",478,1222
"Safety Belt",1499,4089
"School Bus, Passing Stopped",16,49
Speeding,366,974
Spillback,65,140
"Tinted Windows",1297,3830
"Truck Routes",75,196
U-Turn,180,508
Uninspected,75,305
Uninsured,961,2705
"Unlicensed Operator",807,2153
Unregistered,162,491
"Unsafe Lane Change",46,135
"Other Movers
TOTAL Movers","615
13626",1659
,,37223
"* All figures are preliminary and subject to change.",,
