"Moving Violations",,
"115th Precinct",,
March,,
"Offense Description
Backing Unsafely","MTD 2014
3","YTD 2014"
,,9
"Brake Lights (Defect.or  Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",117,254
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",226,453
"Equipment (Other)",39,67
"Fail to Keep Right",0,0
"Fail to Signal",27,83
"Fail to Stop on Signal",54,278
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,8
"Improper Lights",169,458
"Improper Passing",4,14
"Improper Turn",64,214
"Improper/Missing Plates",16,43
"Not Giving R of W to Pedes.",40,150
"Not Giving R of W to Veh.",2,7
"One Way Street",1,12
"Pavement Markings",14,25
"Safety Belt",305,734
"School Bus, Passing Stopped",1,4
Speeding,15,48
Spillback,0,3
"Tinted Windows",227,563
"Truck Routes",35,69
U-Turn,0,8
Uninspected,29,145
Uninsured,349,915
"Unlicensed Operator",521,1565
Unregistered,45,118
"Unsafe Lane Change",0,2
"Other Movers
TOTAL Movers","127
2430",352
,,6602
"* All figures are preliminary and subject to change.",,
