"Offense  Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,4
"Bike Lane",0,1
"Bus Lane",0,0
"Cell Phone",16,170
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",106,1171
"Driving Too Slow",0,0
Equipment,35,219
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",70,807
"Failure to Signal",2,43
"Following Too Closely",1,1
"Improper Passing",0,4
"Improper Taxi Pickup",0,3
"Improper Turn",169,1532
"Improper/Missing Plates",1,6
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",1,5
"Not Giving R of W to Veh.",0,9
"Obstructed Plate",0,8
"One Way Street",3,58
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",109,1431
"School Bus",0,31
"Scooter In NYC",0,0
"Seat Belt",50,205
Speeding,54,618
Spillback,0,2
"TBTA Rule",0,0
Tints,0,37
"TLC (Other)",0,0
"Truck Route",0,7
Uninspected,2,10
Uninsured,1,43
"Unlicensed Operator",25,141
Unregistered,1,25
"Unsafe Lane Change",0,5
"Other Movers",39,285
"TOTAL Movers",685,6882
"Moving Violations",,
"24th Precinct",,
September,,
"* All figures are preliminary and subject to change.",,
