"Offense  Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,1
"Bike Lane",1,8
"Bus Lane",0,0
"Cell Phone",42,568
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",111,1803
"Driving Too Slow",0,0
Equipment,6,140
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,2
"Fail to yield Right of Way to Pedestrian",69,569
"Failure to Signal",2,45
"Following Too Closely",0,2
"Improper Passing",2,39
"Improper Taxi Pickup",0,0
"Improper Turn",52,797
"Improper/Missing Plates",0,3
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",6,58
"Not Giving R of W to Veh.",1,14
"Obstructed Plate",1,35
"One Way Street",6,39
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",1,2
"Red Light",100,1251
"School Bus",1,20
"Scooter In NYC",0,0
"Seat Belt",57,647
Speeding,44,767
Spillback,0,0
"TBTA Rule",0,0
Tints,4,145
"TLC (Other)",0,0
"Truck Route",3,22
Uninspected,1,12
Uninsured,8,79
"Unlicensed Operator",36,474
Unregistered,1,30
"Unsafe Lane Change",1,7
"Other Movers",65,728
"TOTAL Movers",621,8307
"Moving Violations",,
"108th Precinct",,
September,,
"* All figures are preliminary and subject to change.",,
