"Offense  Description","MTD 2018","YTD 2018"
"Backing Unsafely",6,68
"Bike Lane",5,74
"Bus Lane",5,58
"Cell Phone",282,4060
"Commercial Veh on Pkwy",5,35
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",1772,20723
"Driving Too Slow",0,6
Equipment,243,2937
"Equipment (Other)",0,1
"Excessive Noise",0,1
"Fail to Keep Right",2,8
"Fail to yield Right of Way to Pedestrian",268,3480
"Failure to Signal",165,1783
"Following Too Closely",1,11
"Improper Passing",29,214
"Improper Taxi Pickup",0,4
"Improper Turn",380,4737
"Improper/Missing Plates",6,83
"Lamps and Other Equipment on Bicycle",0,2
"Motorcycle (Other)",15,114
"Not Giving R of W to Veh.",9,109
"Obstructed Plate",38,465
"One Way Street",71,963
Overheight,0,0
Overlength,0,17
Overweight,0,1
Overwidth,0,0
"Pavement Markings",3,31
"Red Light",793,9267
"School Bus",18,81
"Scooter In NYC",0,0
"Seat Belt",640,7491
Speeding,513,5134
Spillback,4,51
"TBTA Rule",0,0
Tints,274,4412
"TLC (Other)",0,0
"Truck Route",19,406
Uninspected,9,256
Uninsured,96,1102
"Unlicensed Operator",429,4905
Unregistered,88,1101
"Unsafe Lane Change",8,63
"Other Movers",698,9018
"TOTAL Movers",6894,83272
"Moving Violations",,
"Brooklyn North",,
September,,
"* All figures are preliminary and subject to change.",,
