"Offense  Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,0
"Bike Lane",0,4
"Bus Lane",0,0
"Cell Phone",87,1096
"Commercial Veh on Pkwy",0,1
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",78,919
"Driving Too Slow",0,0
Equipment,11,145
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,0
"Fail to yield Right of Way to Pedestrian",97,866
"Failure to Signal",5,77
"Following Too Closely",0,2
"Improper Passing",0,4
"Improper Taxi Pickup",0,0
"Improper Turn",5,53
"Improper/Missing Plates",0,4
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",3,26
"Not Giving R of W to Veh.",0,7
"Obstructed Plate",1,36
"One Way Street",1,25
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,0
"Red Light",11,181
"School Bus",1,11
"Scooter In NYC",0,0
"Seat Belt",90,1559
Speeding,101,812
Spillback,0,1
"TBTA Rule",0,0
Tints,10,150
"TLC (Other)",0,0
"Truck Route",1,19
Uninspected,3,56
Uninsured,14,82
"Unlicensed Operator",45,482
Unregistered,4,49
"Unsafe Lane Change",2,19
"Other Movers",153,1640
"TOTAL Movers",723,8326
"Moving Violations",,
"111th Precinct",,
September,,
"* All figures are preliminary and subject to change.",,
