"Offense  Description","MTD 2018","YTD 2018"
"Backing Unsafely",55,739
"Bike Lane",46,411
"Bus Lane",130,6442
"Cell Phone",3448,39416
"Commercial Veh on Pkwy",275,2498
"Cruising For Passengers",0,12
"Disobey Traffic Control Device",14506,160282
"Driving Too Slow",2,32
Equipment,2387,29023
"Equipment (Other)",4,56
"Excessive Noise",0,4
"Fail to Keep Right",11,99
"Fail to yield Right of Way to Pedestrian",3431,40690
"Failure to Signal",1384,16844
"Following Too Closely",77,733
"Improper Passing",183,1950
"Improper Taxi Pickup",186,2821
"Improper Turn",6140,68812
"Improper/Missing Plates",91,1118
"Lamps and Other Equipment on Bicycle",6,83
"Motorcycle (Other)",148,1727
"Not Giving R of W to Veh.",102,1213
"Obstructed Plate",593,6798
"One Way Street",395,4680
"Other Movers",6663,72134
Overheight,5,29
Overlength,6,111
Overweight,12,418
Overwidth,0,45
"Pavement Markings",20,213
"Red Light",5355,54650
"School Bus",115,1857
"Scooter In NYC",0,9
"Seat Belt",5729,65737
Speeding,10834,116429
Spillback,475,5457
"TBTA Rule",0,1
Tints,3647,51444
"TLC (Other)",0,2
"Truck Route",137,1895
Uninspected,241,3434
Uninsured,961,11740
"Unlicensed Operator",3893,40760
Unregistered,758,8609
"Unsafe Lane Change",334,3946
"TOTAL Movers",72785,825403
"Moving Violations",,
Citywide,,
September,,
"* All figures are preliminary and subject to change.",,
