Offense  Description,"",""
Backing Unsafely,0,16
Bike Lane,0,0
Bus Lane,3,56
Cell Phone,37,515
Commercial Veh on Pkwy,0,1
Cruising For Passengers,0,0
Disobey Traffic Control Device,157,1789
Driving Too Slow,0,0
Equipment,40,547
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,1,4
Fail to yield Right of Way to Pedestrian,40,584
Failure to Signal,13,132
Following Too Closely,0,1
Improper Passing,1,18
Improper Taxi Pickup,0,0
Improper Turn,119,1431
Improper/Missing Plates,0,12
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,5
Not Giving R of W to Veh.,1,13
Obstructed Plate,23,187
One Way Street,1,40
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,75,561
School Bus,0,13
Scooter In NYC,0,1
Seat Belt,29,524
Speeding,91,1344
Spillback,0,8
TBTA Rule,0,0
Tints,71,712
TLC (Other),0,0
Truck Route,0,3
Uninspected,3,34
Uninsured,18,235
Unlicensed Operator,84,640
Unregistered,19,205
Unsafe Lane Change,4,36
Other Movers,75,776
TOTAL Movers,905,10443
52nd Precinct,,
