"Offense  Description","MTD 2018","YTD 2018"
"Backing Unsafely",0,4
"Bike Lane",0,0
"Bus Lane",0,11
"Cell Phone",20,208
"Commercial Veh on Pkwy",0,0
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",184,1863
"Driving Too Slow",0,0
Equipment,39,475
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,2
"Fail to yield Right of Way to Pedestrian",33,384
"Failure to Signal",21,146
"Following Too Closely",0,0
"Improper Passing",8,44
"Improper Taxi Pickup",0,1
"Improper Turn",22,344
"Improper/Missing Plates",0,7
"Lamps and Other Equipment on Bicycle",0,0
"Motorcycle (Other)",6,46
"Not Giving R of W to Veh.",1,8
"Obstructed Plate",2,20
"One Way Street",4,27
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,2
"Red Light",116,1058
"School Bus",1,4
"Scooter In NYC",0,0
"Seat Belt",25,403
Speeding,67,414
Spillback,0,2
"TBTA Rule",0,0
Tints,28,240
"TLC (Other)",0,0
"Truck Route",0,0
Uninspected,0,8
Uninsured,7,79
"Unlicensed Operator",26,306
Unregistered,0,40
"Unsafe Lane Change",1,13
"Other Movers",55,606
"TOTAL Movers",666,6765
"Moving Violations",,
"84th Precinct",,
September,,
"* All figures are preliminary and subject to change.",,
