"Moving Violations",,
"44th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
1","YTD 2011"
,,25
"Brake Lights (Defect.or  Improper)",14,417
"Bus Lane, Driving in",0,0
"Cell Phone",84,1223
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,6
"Disobey Sign",139,2336
"Equipment (Other)",18,411
"Fail to Keep Right",2,17
"Fail to Signal",2,97
"Fail to Stop on Signal",6,206
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",11,272
"Improper Lights",0,4
"Improper Passing",0,7
"Improper Turn",3,160
"Improper/Missing Plates",6,124
"Not Giving R of W to Pedes.",1,25
"Not Giving R of W to Veh.",0,24
"One Way Street",1,37
"Pavement Markings",3,107
"Safety Belt",83,2390
"School Bus, Passing Stopped",0,11
Speeding,2,138
Spillback,0,41
"Tinted Windows",76,1026
"Truck Routes",0,8
U-Turn,0,74
Uninspected,3,72
Uninsured,44,783
"Unlicensed Operator",47,834
Unregistered,21,276
"Unsafe Lane Change",0,14
"Other Movers
TOTAL Movers","12
579",141
,,11311
"* All figures are preliminary and subject to change.",,
