"Moving Violations",,
"24th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,16
"Brake Lights (Defect.or  Improper)",12,223
"Bus Lane, Driving in",0,0
"Cell Phone",118,1772
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Sign",81,1314
"Equipment (Other)",0,13
"Fail to Keep Right",0,2
"Fail to Signal",10,112
"Fail to Stop on Signal",6,270
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",7,168
"Improper Lights",0,0
"Improper Passing",0,2
"Improper Turn",9,40
"Improper/Missing Plates",0,8
"Not Giving R of W to Pedes.",22,147
"Not Giving R of W to Veh.",0,8
"One Way Street",9,105
"Pavement Markings",0,14
"Safety Belt",37,689
"School Bus, Passing Stopped",2,115
Speeding,0,8
Spillback,1,7
"Tinted Windows",12,105
"Truck Routes",1,77
U-Turn,1,7
Uninspected,1,13
Uninsured,19,324
"Unlicensed Operator",15,220
Unregistered,4,65
"Unsafe Lane Change",8,60
"Other Movers
TOTAL Movers","19
394",617
,,6527
"* All figures are preliminary and subject to change.",,
