"Moving Violations",,
"62nd Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
3","YTD 2011"
,,6
"Brake Lights (Defect.or  Improper)",22,270
"Bus Lane, Driving in",0,0
"Cell Phone",240,2817
"Commercial Veh on Pkwy",0,17
"Defective Brakes",0,5
"Disobey Sign",84,1814
"Equipment (Other)",1,8
"Fail to Keep Right",0,4
"Fail to Signal",8,126
"Fail to Stop on Signal",69,614
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",18,141
"Improper Lights",0,3
"Improper Passing",8,32
"Improper Turn",4,71
"Improper/Missing Plates",4,46
"Not Giving R of W to Pedes.",26,153
"Not Giving R of W to Veh.",4,38
"One Way Street",0,21
"Pavement Markings",30,862
"Safety Belt",232,3081
"School Bus, Passing Stopped",1,19
Speeding,19,104
Spillback,0,10
"Tinted Windows",78,939
"Truck Routes",3,109
U-Turn,2,45
Uninspected,0,16
Uninsured,88,895
"Unlicensed Operator",59,757
Unregistered,6,107
"Unsafe Lane Change",0,7
"Other Movers
TOTAL Movers","40
1049",172
,,13313
"* All figures are preliminary and subject to change.",,
