
"Queens North",,

"Offense Description
Backing Unsafely","MTD 2011
7","YTD 2011"
,,97
"Brake Lights (Defect.or  Improper)",35,769
"Bus Lane, Driving in",0,1
"Cell Phone",1632,24026
"Commercial Veh on Pkwy",0,4
"Defective Brakes",0,12
"Disobey Sign",1249,14926
"Equipment (Other)",28,539
"Fail to Keep Right",2,33
"Fail to Signal",67,1005
"Fail to Stop on Signal",310,4842
"Following Too Closely",1,42
"Headlights (Defect. or Improper)",40,483
"Improper Lights",81,1380
"Improper Passing",15,192
"Improper Turn",108,1740
"Improper/Missing Plates",13,211
"Not Giving R of W to Pedes.",165,1932
"Not Giving R of W to Veh.",22,264
"One Way Street",88,768
"Pavement Markings",93,1273
"Safety Belt",1714,29888
"School Bus, Passing Stopped",8,223
Speeding,415,5600
Spillback,7,191
"Tinted Windows",704,7689
"Truck Routes",151,1895
U-Turn,25,324
Uninspected,47,540
Uninsured,476,7692
"Unlicensed Operator",651,8919
Unregistered,51,593
"Unsafe Lane Change",7,135
"Other Movers
TOTAL Movers","336
8548",4574
,,122802

