"Moving Violations",,
"105th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
1","YTD 2011"
,,6
"Brake Lights (Defect.or  Improper)",80,1099
"Bus Lane, Driving in",0,0
"Cell Phone",150,1902
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,5
"Disobey Sign",136,939
"Equipment (Other)",0,0
"Fail to Keep Right",0,10
"Fail to Signal",12,148
"Fail to Stop on Signal",11,308
"Following Too Closely",1,8
"Headlights (Defect. or Improper)",60,588
"Improper Lights",1,12
"Improper Passing",8,76
"Improper Turn",11,178
"Improper/Missing Plates",0,3
"Not Giving R of W to Pedes.",6,40
"Not Giving R of W to Veh.",0,3
"One Way Street",2,44
"Pavement Markings",57,677
"Safety Belt",155,3778
"School Bus, Passing Stopped",2,30
Speeding,24,326
Spillback,0,1
"Tinted Windows",170,2490
"Truck Routes",14,300
U-Turn,2,35
Uninspected,29,464
Uninsured,209,2559
"Unlicensed Operator",64,855
Unregistered,11,187
"Unsafe Lane Change",0,1
"Other Movers
TOTAL Movers","33
1249",631
,,17703
"* All figures are preliminary and subject to change.",,
