"Moving Violations",,
"49th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,8
"Brake Lights (Defect.or  Improper)",5,385
"Bus Lane, Driving in",0,0
"Cell Phone",16,745
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",131,1667
"Equipment (Other)",0,0
"Fail to Keep Right",0,7
"Fail to Signal",0,0
"Fail to Stop on Signal",3,124
"Following Too Closely",0,9
"Headlights (Defect. or Improper)",10,270
"Improper Lights",0,0
"Improper Passing",0,6
"Improper Turn",31,464
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",2,62
"Not Giving R of W to Veh.",0,18
"One Way Street",0,8
"Pavement Markings",0,0
"Safety Belt",22,1006
"School Bus, Passing Stopped",0,3
Speeding,3,68
Spillback,0,54
"Tinted Windows",67,1130
"Truck Routes",4,187
U-Turn,1,7
Uninspected,2,62
Uninsured,29,909
"Unlicensed Operator",36,887
Unregistered,4,181
"Unsafe Lane Change",0,16
"Other Movers
TOTAL Movers","12
378",327
,,8610
"* All figures are preliminary and subject to change.",,
