
"43rd Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
2","YTD 2011"
,,56
"Brake Lights (Defect.or  Improper)",35,438
"Bus Lane, Driving in",0,0
"Cell Phone",23,651
"Commercial Veh on Pkwy",0,32
"Defective Brakes",0,6
"Disobey Sign",23,624
"Equipment (Other)",6,40
"Fail to Keep Right",0,18
"Fail to Signal",11,402
"Fail to Stop on Signal",36,587
"Following Too Closely",0,12
"Headlights (Defect. or Improper)",67,650
"Improper Lights",4,23
"Improper Passing",1,24
"Improper Turn",55,958
"Improper/Missing Plates",1,28
"Not Giving R of W to Pedes.",1,50
"Not Giving R of W to Veh.",0,4
"One Way Street",2,37
"Pavement Markings",11,209
"Safety Belt",39,1255
"School Bus, Passing Stopped",0,15
Speeding,0,116
Spillback,2,159
"Tinted Windows",29,676
"Truck Routes",0,51
U-Turn,8,92
Uninspected,2,69
Uninsured,13,439
"Unlicensed Operator",50,942
Unregistered,3,148
"Unsafe Lane Change",4,297
"Other Movers
TOTAL Movers","28
456",154
,,9262

