"Moving Violations",,
"107th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,8
"Brake Lights (Defect.or  Improper)",49,632
"Bus Lane, Driving in",0,0
"Cell Phone",142,2565
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",40,729
"Equipment (Other)",5,36
"Fail to Keep Right",0,5
"Fail to Signal",13,58
"Fail to Stop on Signal",3,216
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",29,159
"Improper Lights",11,81
"Improper Passing",0,38
"Improper Turn",131,2075
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",15,82
"Not Giving R of W to Veh.",4,30
"One Way Street",0,12
"Pavement Markings",20,120
"Safety Belt",195,3693
"School Bus, Passing Stopped",0,14
Speeding,10,244
Spillback,0,2
"Tinted Windows",68,1377
"Truck Routes",0,1
U-Turn,0,2
Uninspected,3,37
Uninsured,41,706
"Unlicensed Operator",45,917
Unregistered,2,45
"Unsafe Lane Change",1,22
"Other Movers
TOTAL Movers","11
838",99
,,14010
"* All figures are preliminary and subject to change.",,
