"Moving Violations",,
"114th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,15
"Brake Lights (Defect.or  Improper)",0,0
"Bus Lane, Driving in",0,1
"Cell Phone",259,3727
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",299,3120
"Equipment (Other)",11,277
"Fail to Keep Right",1,4
"Fail to Signal",20,164
"Fail to Stop on Signal",38,719
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",0,0
"Improper Lights",21,166
"Improper Passing",5,16
"Improper Turn",5,65
"Improper/Missing Plates",1,20
"Not Giving R of W to Pedes.",34,217
"Not Giving R of W to Veh.",3,14
"One Way Street",1,80
"Pavement Markings",20,200
"Safety Belt",180,3149
"School Bus, Passing Stopped",0,11
Speeding,24,394
Spillback,3,25
"Tinted Windows",144,1040
"Truck Routes",29,223
U-Turn,0,0
Uninspected,2,45
Uninsured,54,742
"Unlicensed Operator",74,768
Unregistered,2,44
"Unsafe Lane Change",0,2
"Other Movers
TOTAL Movers","27
1257",508
,,15760
"* All figures are preliminary and subject to change.",,
