"Moving Violations",,
"113th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
1","YTD 2011"
,,4
"Brake Lights (Defect.or  Improper)",109,934
"Bus Lane, Driving in",0,0
"Cell Phone",142,1611
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,6
"Disobey Sign",223,1880
"Equipment (Other)",0,3
"Fail to Keep Right",0,0
"Fail to Signal",0,2
"Fail to Stop on Signal",20,393
"Following Too Closely",0,10
"Headlights (Defect. or Improper)",14,213
"Improper Lights",1,183
"Improper Passing",2,39
"Improper Turn",224,2398
"Improper/Missing Plates",0,3
"Not Giving R of W to Pedes.",3,13
"Not Giving R of W to Veh.",2,17
"One Way Street",4,4
"Pavement Markings",63,496
"Safety Belt",138,1670
"School Bus, Passing Stopped",1,35
Speeding,12,126
Spillback,0,3
"Tinted Windows",96,1335
"Truck Routes",30,202
U-Turn,0,0
Uninspected,10,199
Uninsured,124,1775
"Unlicensed Operator",130,1311
Unregistered,26,245
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","23
1398",439
,,15549
"* All figures are preliminary and subject to change.",,
