"Moving Violations",,
"66th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,3
"Brake Lights (Defect.or  Improper)",12,161
"Bus Lane, Driving in",0,0
"Cell Phone",158,2067
"Commercial Veh on Pkwy",0,5
"Defective Brakes",0,1
"Disobey Sign",142,1115
"Equipment (Other)",0,1
"Fail to Keep Right",0,0
"Fail to Signal",16,115
"Fail to Stop on Signal",26,331
"Following Too Closely",2,3
"Headlights (Defect. or Improper)",1,45
"Improper Lights",0,10
"Improper Passing",0,5
"Improper Turn",7,99
"Improper/Missing Plates",1,10
"Not Giving R of W to Pedes.",12,153
"Not Giving R of W to Veh.",0,7
"One Way Street",0,8
"Pavement Markings",0,17
"Safety Belt",225,3056
"School Bus, Passing Stopped",0,28
Speeding,20,168
Spillback,0,1
"Tinted Windows",32,402
"Truck Routes",21,269
U-Turn,0,3
Uninspected,0,19
Uninsured,76,896
"Unlicensed Operator",52,575
Unregistered,9,99
"Unsafe Lane Change",0,3
"Other Movers
TOTAL Movers","4
816",81
,,9756
"* All figures are preliminary and subject to change.",,
