
"6th Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
1","YTD 2011"
,,19
"Brake Lights (Defect.or  Improper)",10,105
"Bus Lane, Driving in",0,0
"Cell Phone",141,2000
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,5
"Disobey Sign",33,1147
"Equipment (Other)",0,7
"Fail to Keep Right",0,0
"Fail to Signal",6,78
"Fail to Stop on Signal",37,811
"Following Too Closely",1,11
"Headlights (Defect. or Improper)",31,236
"Improper Lights",2,3
"Improper Passing",0,22
"Improper Turn",28,350
"Improper/Missing Plates",0,9
"Not Giving R of W to Pedes.",1,193
"Not Giving R of W to Veh.",7,18
"One Way Street",0,94
"Pavement Markings",44,492
"Safety Belt",143,2065
"School Bus, Passing Stopped",0,18
Speeding,0,23
Spillback,0,4
"Tinted Windows",3,36
"Truck Routes",0,0
U-Turn,0,9
Uninspected,0,7
Uninsured,9,170
"Unlicensed Operator",11,258
Unregistered,3,43
"Unsafe Lane Change",0,41
"Other Movers
TOTAL Movers","5
517",195
,,8469

