"Moving Violations",,
"109th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
2","YTD 2011"
,,20
"Brake Lights (Defect.or  Improper)",8,161
"Bus Lane, Driving in",0,0
"Cell Phone",434,4740
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",369,4543
"Equipment (Other)",8,134
"Fail to Keep Right",0,13
"Fail to Signal",10,177
"Fail to Stop on Signal",110,1366
"Following Too Closely",0,7
"Headlights (Defect. or Improper)",3,172
"Improper Lights",0,2
"Improper Passing",0,20
"Improper Turn",38,358
"Improper/Missing Plates",8,85
"Not Giving R of W to Pedes.",27,402
"Not Giving R of W to Veh.",9,117
"One Way Street",10,51
"Pavement Markings",18,181
"Safety Belt",317,4767
"School Bus, Passing Stopped",7,68
Speeding,16,182
Spillback,1,27
"Tinted Windows",212,1345
"Truck Routes",48,359
U-Turn,4,78
Uninspected,9,85
Uninsured,61,566
"Unlicensed Operator",125,1266
Unregistered,9,93
"Unsafe Lane Change",3,61
"Other Movers
TOTAL Movers","101
1967",528
,,21974
"* All figures are preliminary and subject to change.",,
