"Moving Violations",,
"46th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
2","YTD 2011"
,,88
"Brake Lights (Defect.or  Improper)",6,498
"Bus Lane, Driving in",0,0
"Cell Phone",42,1441
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,5
"Disobey Sign",124,2300
"Equipment (Other)",1,47
"Fail to Keep Right",1,2
"Fail to Signal",1,141
"Fail to Stop on Signal",3,531
"Following Too Closely",0,6
"Headlights (Defect. or Improper)",2,344
"Improper Lights",0,8
"Improper Passing",2,20
"Improper Turn",8,315
"Improper/Missing Plates",1,84
"Not Giving R of W to Pedes.",0,62
"Not Giving R of W to Veh.",0,20
"One Way Street",0,25
"Pavement Markings",8,95
"Safety Belt",29,1372
"School Bus, Passing Stopped",0,8
Speeding,0,57
Spillback,0,14
"Tinted Windows",113,2003
"Truck Routes",0,23
U-Turn,2,57
Uninspected,3,50
Uninsured,60,1248
"Unlicensed Operator",22,789
Unregistered,10,215
"Unsafe Lane Change",0,44
"Other Movers
TOTAL Movers","7
447",500
,,12412
"* All figures are preliminary and subject to change.",,
