
"83rd Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
3","YTD 2011"
,,30
"Brake Lights (Defect.or  Improper)",44,670
"Bus Lane, Driving in",0,0
"Cell Phone",102,1491
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,9
"Disobey Sign",299,2214
"Equipment (Other)",3,106
"Fail to Keep Right",3,20
"Fail to Signal",20,171
"Fail to Stop on Signal",40,375
"Following Too Closely",0,8
"Headlights (Defect. or Improper)",23,499
"Improper Lights",11,82
"Improper Passing",1,19
"Improper Turn",4,45
"Improper/Missing Plates",8,90
"Not Giving R of W to Pedes.",4,32
"Not Giving R of W to Veh.",3,19
"One Way Street",8,103
"Pavement Markings",5,68
"Safety Belt",88,1752
"School Bus, Passing Stopped",6,28
Speeding,0,8
Spillback,0,9
"Tinted Windows",37,673
"Truck Routes",13,192
U-Turn,0,3
Uninspected,2,38
Uninsured,74,909
"Unlicensed Operator",121,1173
Unregistered,19,241
"Unsafe Lane Change",0,7
"Other Movers
TOTAL Movers","7
948",71
,,11155

