
"30th Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
2","YTD 2011"
,,12
"Brake Lights (Defect.or  Improper)",16,302
"Bus Lane, Driving in",0,0
"Cell Phone",132,1618
"Commercial Veh on Pkwy",0,0
"Defective Brakes",5,32
"Disobey Sign",64,960
"Equipment (Other)",6,94
"Fail to Keep Right",4,4
"Fail to Signal",47,412
"Fail to Stop on Signal",28,374
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",20,170
"Improper Lights",0,2
"Improper Passing",1,10
"Improper Turn",33,591
"Improper/Missing Plates",0,20
"Not Giving R of W to Pedes.",33,159
"Not Giving R of W to Veh.",1,8
"One Way Street",1,30
"Pavement Markings",32,210
"Safety Belt",54,1356
"School Bus, Passing Stopped",1,59
Speeding,23,37
Spillback,0,14
"Tinted Windows",2,81
"Truck Routes",26,273
U-Turn,0,73
Uninspected,1,31
Uninsured,4,229
"Unlicensed Operator",36,436
Unregistered,2,54
"Unsafe Lane Change",1,32
"Other Movers
TOTAL Movers","10
585",300
,,7985

