"Moving Violations",,
"103rd Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
1","YTD 2011"
,,20
"Brake Lights (Defect.or  Improper)",14,362
"Bus Lane, Driving in",0,0
"Cell Phone",101,1731
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",251,4796
"Equipment (Other)",0,0
"Fail to Keep Right",0,6
"Fail to Signal",21,139
"Fail to Stop on Signal",26,313
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",1,232
"Improper Lights",1,54
"Improper Passing",2,15
"Improper Turn",30,344
"Improper/Missing Plates",7,82
"Not Giving R of W to Pedes.",17,87
"Not Giving R of W to Veh.",2,54
"One Way Street",0,55
"Pavement Markings",21,276
"Safety Belt",90,2321
"School Bus, Passing Stopped",1,19
Speeding,0,71
Spillback,8,127
"Tinted Windows",666,6704
"Truck Routes",8,184
U-Turn,21,522
Uninspected,7,123
Uninsured,47,921
"Unlicensed Operator",80,1225
Unregistered,13,197
"Unsafe Lane Change",5,55
"Other Movers
TOTAL Movers","26
1467",579
,,21617
"* All figures are preliminary and subject to change.",,
