
"60th Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
3","YTD 2011"
,,25
"Brake Lights (Defect.or  Improper)",6,99
"Bus Lane, Driving in",0,0
"Cell Phone",139,2066
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",146,1645
"Equipment (Other)",0,0
"Fail to Keep Right",1,11
"Fail to Signal",5,134
"Fail to Stop on Signal",24,323
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",17,103
"Improper Lights",0,3
"Improper Passing",1,14
"Improper Turn",15,319
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",11,126
"Not Giving R of W to Veh.",0,44
"One Way Street",12,37
"Pavement Markings",13,354
"Safety Belt",32,1264
"School Bus, Passing Stopped",0,26
Speeding,27,155
Spillback,0,2
"Tinted Windows",119,1173
"Truck Routes",0,4
U-Turn,2,22
Uninspected,0,4
Uninsured,29,399
"Unlicensed Operator",32,449
Unregistered,5,52
"Unsafe Lane Change",3,43
"Other Movers
TOTAL Movers","23
665",126
,,9026

