"Moving Violations",,
"67th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
1","YTD 2011"
,,7
"Brake Lights (Defect.or  Improper)",46,564
"Bus Lane, Driving in",0,0
"Cell Phone",86,1524
"Commercial Veh on Pkwy",0,4
"Defective Brakes",0,0
"Disobey Sign",53,206
"Equipment (Other)",3,33
"Fail to Keep Right",0,0
"Fail to Signal",8,130
"Fail to Stop on Signal",37,359
"Following Too Closely",3,5
"Headlights (Defect. or Improper)",57,548
"Improper Lights",1,9
"Improper Passing",1,28
"Improper Turn",2,20
"Improper/Missing Plates",3,90
"Not Giving R of W to Pedes.",0,30
"Not Giving R of W to Veh.",2,17
"One Way Street",2,17
"Pavement Markings",6,109
"Safety Belt",124,2930
"School Bus, Passing Stopped",1,21
Speeding,0,33
Spillback,1,18
"Tinted Windows",222,1872
"Truck Routes",0,24
U-Turn,12,132
Uninspected,14,92
Uninsured,93,1019
"Unlicensed Operator",48,691
Unregistered,12,249
"Unsafe Lane Change",4,36
"Other Movers
TOTAL Movers","28
870",272
,,11089
"* All figures are preliminary and subject to change.",,
