"Moving Violations",,
"20th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,10
"Brake Lights (Defect.or  Improper)",24,444
"Bus Lane, Driving in",0,0
"Cell Phone",257,3487
"Commercial Veh on Pkwy",0,8
"Defective Brakes",0,2
"Disobey Sign",159,1633
"Equipment (Other)",3,114
"Fail to Keep Right",0,3
"Fail to Signal",19,178
"Fail to Stop on Signal",45,839
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",50,520
"Improper Lights",0,1
"Improper Passing",1,2
"Improper Turn",4,106
"Improper/Missing Plates",3,23
"Not Giving R of W to Pedes.",17,141
"Not Giving R of W to Veh.",0,14
"One Way Street",6,284
"Pavement Markings",7,39
"Safety Belt",63,1617
"School Bus, Passing Stopped",8,110
Speeding,0,1
Spillback,3,12
"Tinted Windows",7,64
"Truck Routes",19,352
U-Turn,1,35
Uninspected,1,7
Uninsured,15,259
"Unlicensed Operator",14,320
Unregistered,4,57
"Unsafe Lane Change",12,69
"Other Movers
TOTAL Movers","25
767",405
,,11159
"* All figures are preliminary and subject to change.",,
