"Moving Violations",,
"106th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
2","YTD 2011"
,,17
"Brake Lights (Defect.or  Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",87,996
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",31,812
"Equipment (Other)",0,0
"Fail to Keep Right",1,3
"Fail to Signal",0,0
"Fail to Stop on Signal",98,986
"Following Too Closely",0,8
"Headlights (Defect. or Improper)",0,0
"Improper Lights",95,1122
"Improper Passing",0,38
"Improper Turn",100,1255
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",9,50
"Not Giving R of W to Veh.",1,21
"One Way Street",0,18
"Pavement Markings",8,153
"Safety Belt",138,2288
"School Bus, Passing Stopped",0,12
Speeding,32,148
Spillback,2,21
"Tinted Windows",103,1268
"Truck Routes",12,149
U-Turn,0,0
Uninspected,3,87
Uninsured,96,1550
"Unlicensed Operator",58,798
Unregistered,11,167
"Unsafe Lane Change",3,62
"Other Movers
TOTAL Movers","26
916",481
,,12510
"* All figures are preliminary and subject to change.",,
