
"17th Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,8
"Brake Lights (Defect.or  Improper)",37,335
"Bus Lane, Driving in",4,108
"Cell Phone",75,1290
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,9
"Disobey Sign",41,1593
"Equipment (Other)",4,34
"Fail to Keep Right",0,1
"Fail to Signal",53,631
"Fail to Stop on Signal",26,669
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",46,193
"Improper Lights",0,0
"Improper Passing",2,138
"Improper Turn",141,2660
"Improper/Missing Plates",2,8
"Not Giving R of W to Pedes.",12,340
"Not Giving R of W to Veh.",0,25
"One Way Street",1,41
"Pavement Markings",5,244
"Safety Belt",86,1010
"School Bus, Passing Stopped",0,14
Speeding,1,43
Spillback,4,193
"Tinted Windows",4,185
"Truck Routes",2,39
U-Turn,0,16
Uninspected,1,23
Uninsured,51,1085
"Unlicensed Operator",18,320
Unregistered,19,158
"Unsafe Lane Change",51,762
"Other Movers
TOTAL Movers","12
698",337
,,12514

