
"72nd Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
1","YTD 2011"
,,13
"Brake Lights (Defect.or  Improper)",73,536
"Bus Lane, Driving in",0,0
"Cell Phone",51,798
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,24
"Disobey Sign",48,493
"Equipment (Other)",3,71
"Fail to Keep Right",0,13
"Fail to Signal",4,118
"Fail to Stop on Signal",28,271
"Following Too Closely",2,6
"Headlights (Defect. or Improper)",68,375
"Improper Lights",0,3
"Improper Passing",2,19
"Improper Turn",6,234
"Improper/Missing Plates",9,52
"Not Giving R of W to Pedes.",4,62
"Not Giving R of W to Veh.",0,3
"One Way Street",3,16
"Pavement Markings",67,232
"Safety Belt",83,731
"School Bus, Passing Stopped",0,14
Speeding,2,148
Spillback,1,8
"Tinted Windows",28,326
"Truck Routes",0,14
U-Turn,16,43
Uninspected,2,24
Uninsured,48,440
"Unlicensed Operator",44,576
Unregistered,17,135
"Unsafe Lane Change",0,19
"Other Movers
TOTAL Movers","8
618",81
,,5898

