"Moving Violations",,
"75th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
1","YTD 2011"
,,46
"Brake Lights (Defect.or  Improper)",13,263
"Bus Lane, Driving in",0,0
"Cell Phone",59,1703
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",37,1348
"Equipment (Other)",0,4
"Fail to Keep Right",0,11
"Fail to Signal",6,548
"Fail to Stop on Signal",23,586
"Following Too Closely",2,15
"Headlights (Defect. or Improper)",6,141
"Improper Lights",3,218
"Improper Passing",0,94
"Improper Turn",33,143
"Improper/Missing Plates",2,15
"Not Giving R of W to Pedes.",2,36
"Not Giving R of W to Veh.",0,10
"One Way Street",3,75
"Pavement Markings",49,370
"Safety Belt",120,3448
"School Bus, Passing Stopped",1,40
Speeding,2,68
Spillback,0,32
"Tinted Windows",129,3101
"Truck Routes",0,46
U-Turn,0,40
Uninspected,19,456
Uninsured,45,2442
"Unlicensed Operator",28,1559
Unregistered,19,651
"Unsafe Lane Change",7,55
"Other Movers
TOTAL Movers","154
763",4977
,,22541
"* All figures are preliminary and subject to change.",,
