
"90th Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
1","YTD 2011"
,,25
"Brake Lights (Defect.or  Improper)",31,310
"Bus Lane, Driving in",0,1
"Cell Phone",197,2426
"Commercial Veh on Pkwy",0,4
"Defective Brakes",0,8
"Disobey Sign",138,1427
"Equipment (Other)",1,118
"Fail to Keep Right",0,6
"Fail to Signal",0,94
"Fail to Stop on Signal",47,715
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",16,241
"Improper Lights",8,52
"Improper Passing",9,53
"Improper Turn",13,95
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",3,18
"Not Giving R of W to Veh.",2,14
"One Way Street",12,232
"Pavement Markings",4,34
"Safety Belt",140,2115
"School Bus, Passing Stopped",4,17
Speeding,2,13
Spillback,0,16
"Tinted Windows",12,278
"Truck Routes",19,369
U-Turn,1,20
Uninspected,7,61
Uninsured,69,1054
"Unlicensed Operator",43,578
Unregistered,11,102
"Unsafe Lane Change",2,5
"Other Movers
TOTAL Movers","35
828",444
,,10950

