
"102nd Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,8
"Brake Lights (Defect.or  Improper)",37,304
"Bus Lane, Driving in",0,0
"Cell Phone",102,1425
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,3
"Disobey Sign",127,1870
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",2,36
"Fail to Stop on Signal",21,285
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",10,216
"Improper Lights",6,93
"Improper Passing",2,31
"Improper Turn",5,279
"Improper/Missing Plates",4,26
"Not Giving R of W to Pedes.",12,111
"Not Giving R of W to Veh.",0,9
"One Way Street",0,40
"Pavement Markings",2,45
"Safety Belt",100,1938
"School Bus, Passing Stopped",1,14
Speeding,1,148
Spillback,0,2
"Tinted Windows",83,826
"Truck Routes",3,62
U-Turn,6,18
Uninspected,11,74
Uninsured,79,1314
"Unlicensed Operator",56,611
Unregistered,9,156
"Unsafe Lane Change",0,8
"Other Movers
TOTAL Movers","15
695",158
,,10111

