"Moving Violations",,
"112th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
2","YTD 2011"
,,8
"Brake Lights (Defect.or  Improper)",5,84
"Bus Lane, Driving in",0,0
"Cell Phone",110,2036
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,2
"Disobey Sign",139,2001
"Equipment (Other)",5,77
"Fail to Keep Right",0,7
"Fail to Signal",3,57
"Fail to Stop on Signal",29,428
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",1,46
"Improper Lights",0,0
"Improper Passing",0,31
"Improper Turn",0,12
"Improper/Missing Plates",0,23
"Not Giving R of W to Pedes.",11,118
"Not Giving R of W to Veh.",0,13
"One Way Street",2,68
"Pavement Markings",4,43
"Safety Belt",275,4600
"School Bus, Passing Stopped",0,33
Speeding,1,142
Spillback,0,6
"Tinted Windows",49,542
"Truck Routes",1,95
U-Turn,2,36
Uninspected,1,23
Uninsured,46,736
"Unlicensed Operator",25,618
Unregistered,1,55
"Unsafe Lane Change",0,12
"Other Movers
TOTAL Movers","10
722",155
,,12110
"* All figures are preliminary and subject to change.",,
