"Moving Violations",,
"111th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
1","YTD 2011"
,,4
"Brake Lights (Defect.or  Improper)",1,18
"Bus Lane, Driving in",0,0
"Cell Phone",301,4068
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",10,460
"Equipment (Other)",1,21
"Fail to Keep Right",0,1
"Fail to Signal",5,92
"Fail to Stop on Signal",13,243
"Following Too Closely",0,5
"Headlights (Defect. or Improper)",0,16
"Improper Lights",3,59
"Improper Passing",1,12
"Improper Turn",0,29
"Improper/Missing Plates",0,22
"Not Giving R of W to Pedes.",9,53
"Not Giving R of W to Veh.",0,1
"One Way Street",0,24
"Pavement Markings",12,371
"Safety Belt",222,4476
"School Bus, Passing Stopped",0,21
Speeding,0,134
Spillback,0,9
"Tinted Windows",102,1280
"Truck Routes",3,86
U-Turn,3,28
Uninspected,16,156
Uninsured,16,542
"Unlicensed Operator",51,742
Unregistered,5,65
"Unsafe Lane Change",3,19
"Other Movers
TOTAL Movers","35
813",273
,,13330
"* All figures are preliminary and subject to change.",,
