"Moving Violations",,
"94th Precinct",,
December,,
"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,11
"Brake Lights (Defect.or  Improper)",32,315
"Bus Lane, Driving in",0,0
"Cell Phone",105,2584
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,20
"Disobey Sign",80,1324
"Equipment (Other)",1,58
"Fail to Keep Right",0,3
"Fail to Signal",4,102
"Fail to Stop on Signal",32,656
"Following Too Closely",4,18
"Headlights (Defect. or Improper)",25,268
"Improper Lights",0,1
"Improper Passing",1,44
"Improper Turn",46,710
"Improper/Missing Plates",1,17
"Not Giving R of W to Pedes.",3,15
"Not Giving R of W to Veh.",1,15
"One Way Street",1,17
"Pavement Markings",29,312
"Safety Belt",61,1347
"School Bus, Passing Stopped",0,6
Speeding,4,236
Spillback,0,18
"Tinted Windows",25,608
"Truck Routes",11,172
U-Turn,0,11
Uninspected,1,14
Uninsured,17,346
"Unlicensed Operator",32,589
Unregistered,8,76
"Unsafe Lane Change",0,12
"Other Movers
TOTAL Movers","6
530",137
,,10062
"* All figures are preliminary and subject to change.",,
