
"68th Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
1","YTD 2011"
,,4
"Brake Lights (Defect.or  Improper)",12,180
"Bus Lane, Driving in",0,0
"Cell Phone",129,1670
"Commercial Veh on Pkwy",10,90
"Defective Brakes",0,0
"Disobey Sign",66,1297
"Equipment (Other)",0,1
"Fail to Keep Right",0,3
"Fail to Signal",4,54
"Fail to Stop on Signal",21,295
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",27,249
"Improper Lights",0,0
"Improper Passing",2,26
"Improper Turn",16,112
"Improper/Missing Plates",1,7
"Not Giving R of W to Pedes.",0,86
"Not Giving R of W to Veh.",1,19
"One Way Street",0,18
"Pavement Markings",0,4
"Safety Belt",159,1888
"School Bus, Passing Stopped",0,30
Speeding,1,15
Spillback,0,63
"Tinted Windows",51,511
"Truck Routes",12,173
U-Turn,2,32
Uninspected,1,6
Uninsured,61,688
"Unlicensed Operator",45,623
Unregistered,5,58
"Unsafe Lane Change",2,18
"Other Movers
TOTAL Movers","15
645",236
,,8458

