
"40th Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
8","YTD 2011"
,,28
"Brake Lights (Defect.or  Improper)",3,11
"Bus Lane, Driving in",0,0
"Cell Phone",95,1350
"Commercial Veh on Pkwy",0,1
"Defective Brakes",1,4
"Disobey Sign",73,1258
"Equipment (Other)",0,0
"Fail to Keep Right",6,39
"Fail to Signal",10,164
"Fail to Stop on Signal",141,774
"Following Too Closely",1,8
"Headlights (Defect. or Improper)",13,31
"Improper Lights",1,2
"Improper Passing",3,53
"Improper Turn",130,847
"Improper/Missing Plates",1,3
"Not Giving R of W to Pedes.",3,17
"Not Giving R of W to Veh.",23,92
"One Way Street",6,29
"Pavement Markings",75,400
"Safety Belt",74,1707
"School Bus, Passing Stopped",0,19
Speeding,15,16
Spillback,3,23
"Tinted Windows",233,822
"Truck Routes",0,15
U-Turn,5,52
Uninspected,0,24
Uninsured,54,1064
"Unlicensed Operator",71,1063
Unregistered,8,107
"Unsafe Lane Change",4,33
"Other Movers
TOTAL Movers","17
1077",853
,,10909

