
"26th Precinct",,

"Offense Description
Backing Unsafely","MTD 2011
0","YTD 2011"
,,9
"Brake Lights (Defect.or  Improper)",47,331
"Bus Lane, Driving in",0,0
"Cell Phone",101,1576
"Commercial Veh on Pkwy",0,5
"Defective Brakes",0,0
"Disobey Sign",38,942
"Equipment (Other)",0,40
"Fail to Keep Right",0,9
"Fail to Signal",6,80
"Fail to Stop on Signal",33,533
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",60,300
"Improper Lights",0,1
"Improper Passing",0,3
"Improper Turn",19,423
"Improper/Missing Plates",2,16
"Not Giving R of W to Pedes.",36,222
"Not Giving R of W to Veh.",10,58
"One Way Street",1,40
"Pavement Markings",23,273
"Safety Belt",39,791
"School Bus, Passing Stopped",2,61
Speeding,12,30
Spillback,9,139
"Tinted Windows",32,260
"Truck Routes",0,38
U-Turn,3,85
Uninspected,0,21
Uninsured,26,530
"Unlicensed Operator",20,289
Unregistered,3,52
"Unsafe Lane Change",0,20
"Other Movers
TOTAL Movers","17
539",517
,,7698

