"Moving Violations",,
"Brooklyn South",,
"    July ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",3,65
"Bike Lane",19,44
"Bus Lane",16,195
"Cell Phone",681,4541
"Commercial Veh on Pkwy",18,59
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",2109,16183
"Driving Too Slow",0,0
Equipment,297,1715
"Equipment (Other)",2,6
"Excessive Noise",0,0
"Fail to Keep Right",2,6
"Fail to yield Right of Way to Pedestrian",748,6005
"Failure to Signal",200,1770
"Failure to yield Right of Way to Vehicle",4,12
"Following Too Closely",3,22
"Improper Passing",29,238
"Improper Taxi Pickup",0,6
"Improper Turn",581,4158
"Improper/Missing Plates",7,76
"Lamps and Other Equipment on Bicycle",9,22
"Motorcycle (Other)",17,128
"Not Giving R of W to Veh.",21,170
"Obstructed Plate",76,705
"One Way Street",74,267
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",5,24
"Red Light",1219,8047
"School Bus",8,255
"Scooter In NYC",0,5
"Seat Belt",1314,7885
Speeding,850,6574
Spillback,2,44
"TBTA Rule",0,0
Tints,242,3549
"TLC (Other)",0,1
"Truck Route",33,155
Uninspected,28,246
Uninsured,97,1010
"Unlicensed Operator",577,4159
Unregistered,134,933
"Unsafe Lane Change",25,179
"Other Movers",1052,7456
"PBBSTOTAL Movers ",10502,76915
"* All figures are preliminary and subject to change.",,
