"Moving Violations",,
"Transportation Bureau",,
"    July ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",19,95
"Bike Lane",14,48
"Bus Lane",43,1503
"Cell Phone",310,1978
"Commercial Veh on Pkwy",206,1677
"Cruising For Passengers",1,42
"Disobey Traffic Control Device",3142,24626
"Driving Too Slow",3,23
Equipment,503,5944
"Equipment (Other)",3,11
"Excessive Noise",0,0
"Fail to Keep Right",1,13
"Fail to yield Right of Way to Pedestrian",824,2944
"Failure to Signal",432,2567
"Failure to yield Right of Way to Vehicle",0,8
"Following Too Closely",54,426
"Improper Passing",48,408
"Improper Taxi Pickup",162,1150
"Improper Turn",1741,9728
"Improper/Missing Plates",12,187
"Lamps and Other Equipment on Bicycle",1,2
"Motorcycle (Other)",71,666
"Not Giving R of W to Veh.",30,265
"Obstructed Plate",139,1321
"One Way Street",107,1396
Overheight,9,70
Overlength,3,32
Overweight,10,79
Overwidth,0,0
"Pavement Markings",11,111
"Red Light",294,2167
"School Bus",0,341
"Scooter In NYC",0,0
"Seat Belt",1059,5840
Speeding,6952,49363
Spillback,443,4706
"TBTA Rule",0,0
Tints,753,10676
"TLC (Other)",0,0
"Truck Route",34,289
Uninspected,85,726
Uninsured,140,1136
"Unlicensed Operator",678,5037
Unregistered,206,1477
"Unsafe Lane Change",204,1403
"Other Movers",1681,11291
"TCDTOTAL Movers ",20428,151772
"* All figures are preliminary and subject to change.",,
