102nd Precinct,,
    July ,,
"","",""
Backing Unsafely,2,3
Bike Lane,0,0
Bus Lane,17,58
Cell Phone,44,318
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,136,870
Driving Too Slow,0,0
Equipment,78,424
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,1,2
Fail to yield Right of Way to Pedestrian,18,332
Failure to Signal,10,44
Failure to yield Right of Way to Vehicle,0,0
Following Too Closely,0,0
Improper Passing,3,13
Improper Taxi Pickup,0,0
Improper Turn,59,523
Improper/Missing Plates,2,10
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),4,32
Not Giving R of W to Veh.,1,11
Obstructed Plate,14,71
One Way Street,1,9
Overheight,1,1
Overlength,1,1
Overweight,0,0
Overwidth,0,0
Pavement Markings,1,1
Red Light,50,427
School Bus,0,10
Scooter In NYC,0,0
Seat Belt,159,815
Speeding,69,504
Spillback,0,2
TBTA Rule,0,0
Tints,5,29
TLC (Other),0,0
Truck Route,0,6
Uninspected,10,29
Uninsured,19,117
Unlicensed Operator,82,451
Unregistered,31,129
Unsafe Lane Change,2,9
Other Movers,91,473
102TOTAL Movers ,911,5724
