"Moving Violations",,
"46th Precinct",,
"   March ",,
046sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",7,17
"Brake Lights (Defect.or Improper)",7,60
"Bus Lane, Driving in",4,13
"Cell Phone",66,168
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",59,193
"Disobey Traffic Control Device",137,438
"Equipment (Other)",5,12
"Fail to Keep Right",0,0
"Fail to Signal",22,70
"Following Too Closely",2,5
"Headlights (Defect. or Improper)",5,33
"Improper Lights",0,0
"Improper Passing",0,4
"Improper Turn",130,317
"Improper/Missing Plates",0,3
"Not Giving R of W to Pedes.",43,188
"Not Giving R of W to Veh.",6,13
"One Way Street",5,12
"Pavement Markings",30,76
"Safety Belt",44,141
"School Bus, Passing Stopped",7,27
Speeding,25,178
Spillback,0,1
"Tinted Windows",274,772
"Truck Routes",0,0
U-Turn,18,53
Uninspected,3,4
Uninsured,128,332
"Unlicensed Operator",59,148
Unregistered,24,62
"Unsafe Lane Change",7,16
"Other Movers",103,327
"046    TOTAL Movers ",1220,3683
"* All figures are preliminary and subject to change.",,
