41st Precinct,,
   March ,,
041sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,7
Brake Lights (Defect.or Improper),10,30
"Bus Lane, Driving in",0,0
Cell Phone,21,52
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,42,101
Disobey Traffic Control Device,195,507
Equipment (Other),3,7
Fail to Keep Right,0,0
Fail to Signal,19,53
Following Too Closely,2,2
Headlights (Defect. or Improper),15,76
Improper Lights,0,0
Improper Passing,2,3
Improper Turn,93,214
Improper/Missing Plates,2,8
Not Giving R of W to Pedes.,56,162
Not Giving R of W to Veh.,4,11
One Way Street,4,14
Pavement Markings,16,68
Safety Belt,16,70
"School Bus, Passing Stopped",1,1
Speeding,153,249
Spillback,5,14
Tinted Windows,40,194
Truck Routes,10,53
U-Turn,38,107
Uninspected,1,6
Uninsured,53,202
Unlicensed Operator,27,95
Unregistered,17,71
Unsafe Lane Change,1,3
Other Movers,12,43
041    TOTAL Movers ,860,2423
