Midtown South Precinct,,
   March ,,
014sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,3,10
Brake Lights (Defect.or Improper),12,53
"Bus Lane, Driving in",0,0
Cell Phone,169,588
Commercial Veh on Pkwy,0,0
Defective Brakes,5,5
Disobey Steady Red Signal,44,105
Disobey Traffic Control Device,319,1024
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,111,317
Following Too Closely,0,0
Headlights (Defect. or Improper),19,75
Improper Lights,0,2
Improper Passing,8,15
Improper Turn,239,585
Improper/Missing Plates,0,2
Not Giving R of W to Pedes.,212,471
Not Giving R of W to Veh.,0,0
One Way Street,23,66
Pavement Markings,2,12
Safety Belt,174,476
"School Bus, Passing Stopped",0,0
Speeding,11,57
Spillback,76,216
Tinted Windows,37,101
Truck Routes,15,56
U-Turn,21,85
Uninspected,5,5
Uninsured,59,208
Unlicensed Operator,21,96
Unregistered,13,42
Unsafe Lane Change,5,77
Other Movers,130,392
014    TOTAL Movers ,1733,5141
