63rd Precinct,,
   March ,,
063sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),0,0
"Bus Lane, Driving in",0,0
Cell Phone,78,204
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,6,24
Disobey Traffic Control Device,86,232
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,6,37
Following Too Closely,0,0
Headlights (Defect. or Improper),2,5
Improper Lights,0,0
Improper Passing,1,2
Improper Turn,84,124
Improper/Missing Plates,2,2
Not Giving R of W to Pedes.,41,115
Not Giving R of W to Veh.,0,2
One Way Street,1,1
Pavement Markings,0,0
Safety Belt,31,103
"School Bus, Passing Stopped",0,0
Speeding,59,118
Spillback,0,0
Tinted Windows,57,138
Truck Routes,0,0
U-Turn,0,0
Uninspected,0,1
Uninsured,11,22
Unlicensed Operator,19,47
Unregistered,0,2
Unsafe Lane Change,0,2
Other Movers,56,172
063    TOTAL Movers ,540,1353
