76th Precinct,,
   March ,,
076sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,3
Brake Lights (Defect.or Improper),6,18
"Bus Lane, Driving in",0,0
Cell Phone,75,149
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,18,52
Disobey Traffic Control Device,52,132
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,21,39
Following Too Closely,0,0
Headlights (Defect. or Improper),14,27
Improper Lights,0,0
Improper Passing,0,2
Improper Turn,139,174
Improper/Missing Plates,5,10
Not Giving R of W to Pedes.,23,54
Not Giving R of W to Veh.,0,0
One Way Street,4,21
Pavement Markings,42,251
Safety Belt,51,94
"School Bus, Passing Stopped",1,1
Speeding,19,50
Spillback,1,1
Tinted Windows,58,115
Truck Routes,0,0
U-Turn,1,1
Uninspected,0,1
Uninsured,10,22
Unlicensed Operator,18,41
Unregistered,2,8
Unsafe Lane Change,4,6
Other Movers,48,84
076    TOTAL Movers ,612,1356
